simAU
Inner Planet Mass	Outer Planet Mass	Percent Difference	Distance
1.416000000000001e-05	2.1959999999999952e-05	55.08474576271142	0.33019272488946266* (1:6)	
1.428000000000001e-05	1.8839999999999982e-05	31.932773109243474	0.3303030303030303	
1.4640000000000012e-05	1.8599999999999985e-05	27.049180327868637	0.3343434343434344	
1.416000000000001e-05	2.1359999999999958e-05	50.847457627118246	0.3383838383838384	
1.416000000000001e-05	1.9799999999999973e-05	39.83050847457598	0.3424242424242424	
1.416000000000001e-05	2.099999999999996e-05	48.305084745762336	0.3464646464646465	
1.416000000000001e-05	1.811999999999999e-05	27.966101694915086	0.35050505050505054	
1.428000000000001e-05	1.9559999999999975e-05	36.97478991596611	0.3545454545454545	
1.3680000000000008e-05	1.907999999999998e-05	39.47368421052609	0.35858585858585856	
1.3800000000000008e-05	2.2919999999999943e-05	66.08695652173861	0.36262626262626263	
1.428000000000001e-05	2.0519999999999966e-05	43.69747899159629	0.36593057100229714* (1:7)	
1.4400000000000011e-05	1.9319999999999978e-05	34.16666666666641	0.3666666666666667	
1.416000000000001e-05	1.8239999999999988e-05	28.813559322033722	0.37070707070707076	
1.3800000000000008e-05	2.231999999999995e-05	61.73913043478214	0.3747474747474747	
1.3800000000000008e-05	1.9799999999999973e-05	43.478260869564934	0.3787878787878788	
1.3800000000000008e-05	1.907999999999998e-05	38.260869565217156	0.38282828282828285	
1.3800000000000008e-05	1.7759999999999993e-05	28.69565217391291	0.3868686868686869	
1.3680000000000008e-05	2.0759999999999964e-05	51.75438596491193	0.3909090909090909	
1.428000000000001e-05	1.895999999999998e-05	32.77310924369725	0.39494949494949494	
1.416000000000001e-05	1.787999999999999e-05	26.271186440677813	0.398989898989899	
1.3800000000000008e-05	1.9439999999999977e-05	40.86956521739105	0.39999999999999997* (1:8)	
1.404000000000001e-05	2.099999999999996e-05	49.5726495726492	0.40303030303030307	
1.428000000000001e-05	1.9919999999999972e-05	39.49579831932743	0.407070707070707	
1.3920000000000009e-05	1.799999999999999e-05	29.310344827586054	0.4111111111111111	
1.3320000000000006e-05	1.9919999999999972e-05	49.54954954954927	0.41515151515151516	
1.3560000000000007e-05	1.799999999999999e-05	32.74336283185826	0.4191919191919192	
1.3560000000000007e-05	1.919999999999998e-05	41.592920353982066	0.4232323232323232	
1.3920000000000009e-05	1.8839999999999982e-05	35.34482758620668	0.42727272727272725	
1.3680000000000008e-05	1.7519999999999995e-05	28.07017543859638	0.4313131313131313	
1.3440000000000007e-05	1.895999999999998e-05	41.071428571428356	0.43267487109222247* (1:9)	
1.3680000000000008e-05	1.716e-05		25.438596491227983	0.4353535353535354	
1.3800000000000008e-05	1.8359999999999987e-05	33.043478260869385	0.43939393939393945	
1.3680000000000008e-05	1.811999999999999e-05	32.456140350877035	0.4434343434343434	
1.3440000000000007e-05	1.787999999999999e-05	33.03571428571415	0.44747474747474747	
1.3680000000000008e-05	1.8239999999999988e-05	33.33333333333317	0.45151515151515154	
1.3320000000000006e-05	2.027999999999997e-05	52.25225225225194	0.4555555555555556	
1.3200000000000006e-05	1.6800000000000002e-05	27.27272727272723	0.45959595959595956	
1.3320000000000006e-05	1.799999999999999e-05	35.135135135135		0.4636363636363636	
1.3800000000000008e-05	1.9559999999999975e-05	41.739130434782346	0.46415888336127786* (1:10)	
1.3320000000000006e-05	1.8599999999999985e-05	39.639639639639455	0.4676767676767677	
1.3200000000000006e-05	1.716e-05		29.999999999999932	0.47171717171717176	
1.3440000000000007e-05	1.919999999999998e-05	42.85714285714263	0.4757575757575757	
1.3200000000000006e-05	1.704e-05		29.09090909090903	0.4797979797979798	
1.3680000000000008e-05	1.8359999999999987e-05	34.210526315789295	0.48383838383838385	
1.3560000000000007e-05	1.692e-05		24.778761061946838	0.4878787878787879	
1.3560000000000007e-05	1.6800000000000002e-05	23.893805309734457	0.491919191919192	
1.3320000000000006e-05	1.692e-05		27.027027027026975	0.49460874432487006* (1:11)	
1.3080000000000005e-05	1.6320000000000006e-05	24.77064220183486	0.49595959595959593	
1.3080000000000005e-05	1.6440000000000005e-05	25.688073394495405	0.5	
